Onglet,Section,Nom,Description,Prix,
deguster,Fromages,Cantal éclats de noix au miel,,9€,
deguster,Fromages,Chèvre aux herbes,huile verte,7€,
deguster,Terre,Karage poulet,Mayo wasabi / Teriyaki whisky,11€,
deguster,Terre,Mortadelle de Bologne,pistache / confiture figues piment,12€,
deguster,Terre,Côte de bœuf maturée 30j,300g / sauce béarnaise,28€,
deguster,Mer,Couteaux en persillade,10 pièces,15€,
deguster,Mer,Aile de raie et choux-fleurs rôtis,persillade,10€,
deguster,Mer,Saumon mi-cuit,purée de petits pois / sauce hollandaise,22€,
deguster,Végétarien,Artichauts rôtis,crème de chèvre aux herbes,8€,
deguster,Végétarien,Houmous betterave,frites patate douce / sauce maison,14€,
deguster,Desserts,Mousse chocolat maison,,7€,
deguster,Desserts,Tarte aux pommes,crumble / glace vanille,8€,
,,,,,
cocktails,Signatures,Creamy pistachio,vodka expresso / crème de pistache,12€,
cocktails,Signatures,Red Sangria Sour,,11€,
cocktails,Signatures,White Sangria Sour,,11€,
cocktails,Signatures,Spicy margarita,tequila infusée piment vert et rouge du Maroc,12€,
cocktails,Signatures,Ginmancello Sour,gin limoncello façon sour,12€,
cocktails,Signatures,Green smash,gin infusé persil basilic citron vert,12€,
cocktails,Signatures,Lemon Midori Flower,gin melon citron vert / sirop de sureau,13€,
cocktails,Signatures,Rhumstar martini,rhum épicé / vanille / citron / passion,13€,
cocktails,Signatures,Caribbean passion mule,,12€,
cocktails,Signatures,Cloud lily lavande,gin / sirop de lavande citron jaune / émulsifiant,11€,
cocktails,Signatures,Strawberry New York sour,,13€,
cocktails,Signatures,Blue Jam Sour,confiture de myrtille / granité gin,12€,
cocktails,Classiques,Mule,Caribbean Rhum / Moscow Vodka / London Gin / Mezcal (+2€),10€,
cocktails,Classiques,Sour,amaretto / bourbon / whisky / pisco,11€,
cocktails,Classiques,Spritz,Aperol / Limoncello / Campari / Sureau Hugo,10€,
cocktails,Classiques,Mate Fleurie,rhum / gin / vodka / whisky ou tequila / club mate / citron jaune,11€,
cocktails,Classiques,Cocktail hors carte simple,,10€,
cocktails,Classiques,Cocktail hors carte supérieur,,12€,
,,,,,
chaudes,Boissons chaudes,Café simple,,2€,
chaudes,Boissons chaudes,Café double,,3,50€
chaudes,Boissons chaudes,Thé,,2,90€
,,,,,
bieres,Bières pression,San Miguel blonde,25cl ou 50cl,4€/7,50€
bieres,Bières pression,Grimbergen blonde,25cl ou 50cl,4,50€/8€
bieres,Bières pression,IPA Corsica Pietra,25cl ou 50cl,4,50€/8€
bieres,Bières pression,1664 Blanche,25cl ou 50cl,4,50€/8€
bieres,Bouteille,Bière Chouffe cherry,33cl,7€,
bieres,Bouteille,Brooklyn IPA sans alcool,33cl,7€,
,,,,,
softs,Sodas,Coca Cola,,4€,
softs,Sodas,Coca Cola zéro,,4€,
softs,Sodas,Perrier,,4€,
softs,Sodas,Orangina,,4€,
softs,Sodas,Tonic hysope bio,,4€,
softs,Sodas,Ginger beer hysope bio,,4€,
softs,Énergie,Club Mate,,6€,
softs,Énergie,Red Bull,,6€,
softs,Jus,Jus d’ananas,,4€,
softs,Jus,Jus ACE,,4€,
softs,Jus,Jus fraise,,4€,
softs,Jus,Jus tomate,,4€,
softs,Jus,Jus abricot,,4€,
,,,,,
vins,Verre rouge,Shebam 2023,Château la Dournie / grenache IGP Hérault,5€/28€,
vins,Verre rouge,Bachellery 2023,Domaine de Bachellery / pinot noir IGP Pays d’Oc,5€/28€,
vins,Verre rouge,Petit grain 2023,Clos Sorian / merlot syrah grenache IGP Hérault,5€/28€,
vins,Verre rouge,Morgon domaine de la Bêche 2023,gamay / beaujolais,6€/28€,
vins,Verre rouge,Baroque La Rouviole 2022,AOC Minervois / syrah cinsault,6€/32€,
vins,Verre rouge,Garric l’argenteille 2020,AOP Terrasse du Larzac / syrah mourvèdre grenache,6€/32€,
vins,Verre blanc,Déesses muettes 2023,IGP Saint Guilhem le Désert / viognier,5€/28€,
vins,Verre blanc,Déesses muettes 2023,IGP Saint Guilhem le Désert / chardonnay,5€/28€,
vins,Verre blanc,Wizz 2022,Château la Dournie / grenache vermentino IGP Hérault,5€/28€,
vins,Verre blanc,So 2023,Clos Sorian AOP Languedoc / grenache roussane,5€/28€,
vins,Verre blanc,Pouilly-Fumé 2022,Paul Corneau / sauvignon blanc AOP Pouilly-Fumé,8€/39€,
vins,Verre rosé,Gourmandise 2023,IGP Méditerranée / grenache syrah merlot carignan caladoc,5€/28€,
vins,Verre rosé,Grain de glace 2024,AOP Côte de Provence / grenache cinsault syrah rolle,5€/28€,
vins,Verre rosé,Pouverel 2023,AOP Côte de Provence / grenache vermentino,5€/28€,
vins,Verre rosé,Élégance 2023,AOP Côte de Provence / grenache cinsault syrah,5€/28€,
vins,Bouteille rouge,Gourmandise 2023,IGP Méditerranée / merlot syrah grenache,28€,
vins,Bouteille rouge,Bachellery 2023,IPG Pays d’Oc / pinot noir,28€,
vins,Bouteille rouge,Petit R 2022,La Rouviole IGP Hérault / cabernet sauvignon marselan syrah cinsault,28€,
vins,Bouteille rouge,Château Barralière 2022,AOP Côte de Provence / mourvèdre syrah,28€,
vins,Bouteille rouge,Sultanine 2023,AOP Côte de Provence / syrah grenache,28€,
vins,Bouteille rouge,Les Calcaires,Cazeneuve 2022,AOP Pic Saint Loup / grenache carignan syrah cinsault,38€
vins,Bouteille rouge,Grès 2013,Clos Sorian AOP Coteaux du Languedoc / grenache syrah,38€,
vins,Bouteille rouge,Petite Ruche 2022,AOP Crozes-Hermitage / syrah,42€,
vins,Bouteille blanc,Gourmandise 2023,IGP Méditerranée / ugni blanc rolle,28€,
vins,Bouteille blanc,Féraud 2023,AOP Côte de Provence / folle,28€,
vins,Bouteille blanc,Aureillan 2023,AOP Côte de Provence,28€,
vins,Bouteille blanc,Dansons sur la rive 2023,Château la Dournie IGP Hérault / roussane vermentino viognier,28€,
vins,Bouteille blanc,Le Versant 2023,IGP Pays d’Oc / viognier,28€,
vins,Bouteille blanc,Uby n•4 2023,AOP Côte de Gascogne / gros et petit manseng,28€,
vins,Bouteille blanc,Sancerre St Romble 2023,AOP Sancerre / sauvignon blanc,42€,
vins,Bouteille blanc,Guigal Crozes-Hermitage 2015,AOP Crozes-Hermitage / Marianne Roussane,42€,
wines,Vins à la bouteille blanc,Dansons sur la rive 2023,"Château la Dournie, IGP Pays d’Hérault, roussane, vermentino, viognier",28€,
wines,Vins à la bouteille blanc,Le Versant 2023,"IGP Pays d’Oc, viognier",28€,
wines,Vins à la bouteille blanc,Uby n•4 2023,"AOP Côte de Gascogne, gros et petit manseng",28€,
wines,Vins à la bouteille blanc,Sancerre St Romble 2023,"AOP Sancerre, sauvignon blanc",42€,
wines,Vins à la bouteille blanc,Guigal Crozes-Hermitage 2015,"AOP Crozes-Hermitage, Marianne Roussane",42€,